0, 1, 3.5
0, 4, 3.6
0, 7, 3.8
0, 13, 10.9
0, 14, 1.9
0, 15, 3.4
0, 16, 3.4
0, 19, 2.2
0, 20, 2
0, 21, 2
0, 23, 6.4
0, 29, 3.8
0, 30, 7.6
0, 34, 3.4
0, 39, 10.9
0, 40, 3.6
1, 4, 1.1
1, 7, 2.8
1, 13, 6.3
1, 14, 4.9
1, 15, 6.9
1, 16, 6.9
1, 19, 1.9
1, 20, 1.9
1, 21, 1.9
1, 23, 6,
1, 29, 2.8
1, 30, 4.5
1, 34, 6.9
1, 39, 6.3
1, 40, 1.1
4, 7, 3.6
4, 13, 6.6
4, 14, 4.6
4, 15, 6.6
4, 16, 6.6
4, 19, 1.7
4, 20, 1.6
4, 21, 1.6
4, 23, 6.5
4, 29, 3.6
4, 30, 5.4
4, 34, 6.6
4, 39, 6.6
4, 40, 0
7, 13, 8.6
7, 14, 3.3
7, 15, 5
7, 16, 5
7, 19, 4.4
7, 20, 4.1
7, 21, 4.1
7, 23, 9.7
7, 29, 0
7, 30, 5.3
7, 34, 5
7, 39, 8.6
7, 40, 3.6
13, 14, 11.2
13, 15, 12.7
13, 16, 12.7
13, 19, 7.9
13, 20, 7.7
13, 21, 7.7
13, 23, 8.2
13, 29, 8.6
13, 30, 4.2
13, 34, 12.7
13, 39, 0
13, 40, 6.6
14, 15, 2
14, 16, 2
14, 19, 3.2
14, 20, 3
14, 21, 3
14, 23, 6.4
14, 29, 3.3
14, 30, 8.5
14, 34, 2
14, 39, 11.2
14, 40, 4.6
15, 16, 0
15, 19, 5.2
15, 20, 5
15, 21, 5
15, 23, 7.9
15, 29, 5
15, 30, 10.3
15, 34, 0
15, 39, 12.7
15, 40, 6.6
16, 19, 5.2
16, 20, 5
16, 21, 5
16, 23, 7.9
16, 29, 5
16, 30, 10.3
16, 34, 0
16, 39, 12.7
16, 40, 6.6
19, 20, 0.5
19, 21, 0.5
19, 23, 6
19, 29, 4.4
19, 30, 7.5
19, 34, 5.2
19, 39, 7.9
19, 40, 1.7
20, 21, 0
20, 23, 5.5
20, 29, 4.1
20, 30, 5.9
20, 34, 5
20, 39, 7.7
20, 40, 1.6
21, 23, 5.5
21, 29, 4.1
21, 30, 5.9
21, 34, 5
21, 39, 7.7
21, 40, 1.6
23, 29, 9.7
23, 30, 11.5
23, 34, 7.9
23, 39, 8.2
23, 40, 6.5
29, 30, 5.3
29, 34, 5
29, 39, 8.6
29, 40, 3.6
30, 34, 10.3
30, 39, 4.2
30, 40, 5.4
34, 39, 12.7
34, 40, 6.6
39, 40, 6.6
